,0,0,0,0,0
fecha,lluvia,luz,viento,temperatura,humedad
2025-12-04 16:00:00,100,200,1.5,22,60
2025-12-04 16:00:00,100,200,1.5,22,1000
2025-12-04 16:00:00,100,200,1.5,22,-100
2025-12-04 16:00:00,100,200,1.5,22,-200
2025-12-04 16:00:00,100,200,1.5,22,-100
2025-12-04 15:44:54,4095,19.17,0,19.4,50
2025-12-04 15:45:03,4095,13.33,0,19.4,50
2025-12-04 15:45:11,4095,13.33,0,19.4,50
2025-12-04 15:45:20,4095,15,0,19.4,50
2025-12-04 15:45:29,4095,12.5,0,19.4,50
2025-12-04 15:45:36,4095,13.33,0,19.4,50
2025-12-04 15:45:44,4095,16.67,0,19.4,50
2025-12-04 15:45:53,4095,15.83,0,19.4,50
2025-12-04 15:46:01,4095,16.67,0,19.4,50
2025-12-04 15:46:13,4095,16.67,0,19.4,50
2025-12-04 15:46:21,4095,16.67,0,19.3,50
2025-12-04 15:46:33,4095,16.67,0,19.3,50
2025-12-04 15:47:02,4095,15,0,19.2,50
2025-12-04 15:47:20,4095,19.17,0,19,50
2025-12-04 15:47:30,2293,18.33,0,19,50
2025-12-04 15:48:32,1787,17.5,0,19,50
2025-12-04 15:48:44,2215,17.5,0,19,50
2025-12-04 15:50:57,3032,9526.67,0,19,50
2025-12-04 15:51:10,3043,4960,0,19,51
2025-12-04 15:51:19,3085,19.17,0,19,51
2025-12-04 15:51:28,3056,27.5,0,19,52
2025-12-04 15:51:37,3105,33.33,0,19,51
2025-12-04 15:51:47,3152,33.33,0,19,51
2025-12-04 15:51:56,3171,34.17,0,19,51
2025-12-04 15:52:04,3173,34.17,0,19,51
2025-12-04 15:52:24,3291,30,0,19,51
2025-12-04 15:52:32,3307,33.33,0,19,50
2025-12-04 15:52:40,3343,28.33,0,19,50
2025-12-04 15:52:50,2187,69.17,0,19,50
2025-12-04 15:54:52,2637,0,0,16.6,50
2025-12-04 15:55:00,2709,9793.33,0,16.6,50
2025-12-04 15:55:09,2703,10839.17,0,16.6,50
2025-12-04 15:55:18,2865,10053.33,0,16.6,50
2025-12-04 15:55:28,2381,10859.17,0,16.6,50
2025-12-04 15:55:36,2379,10953.33,0,16.6,50
2025-12-04 15:55:45,2357,11043.33,0,16.6,50
2025-12-04 15:55:53,2368,11131.67,0,16.6,50
2025-12-04 15:56:02,2365,11209.17,0,16.6,50
2025-12-04 15:56:10,2388,11251.67,0,16.6,50
2025-12-04 15:56:18,2434,11269.17,0,16.6,50
2025-12-04 15:56:26,2481,11283.33,0,16.6,50
2025-12-04 15:56:36,2605,11265.83,0,16.6,50
2025-12-04 15:56:45,2727,11248.33,0,16.6,50
2025-12-04 15:56:54,2827,11246.67,0,16.6,50
2025-12-04 15:57:05,2981,11215.83,0,16.6,50
2025-12-04 15:57:22,3232,11135.83,0,16.6,50
2025-12-04 15:57:31,3365,11074.17,0,16.6,50
2025-12-04 15:57:56,3733,10879.17,0,16.6,50
2025-12-04 15:58:37,4095,10503.33,0,16.1,50
2025-12-04 16:00:52,2320,15463.33,0,16.1,50
2025-12-04 16:01:02,2321,25076.67,0,16.1,50
2025-12-04 16:01:14,2374,44284.16,0,16.1,51
2025-12-04 16:01:23,2370,54612.5,0,16.6,51
2025-12-04 16:01:32,2359,54612.5,0,17,51
2025-12-04 16:01:40,2359,54612.5,0,17.4,51
2025-12-04 16:01:55,2288,52526.66,0,17.8,50
2025-12-04 16:02:03,2202,54612.5,0,18.6,50
2025-12-04 16:02:12,2207,54612.5,0,19,50
2025-12-04 16:02:20,2240,54612.5,0,19.4,50
2025-12-04 16:02:28,2288,54612.5,0,19.8,49
2025-12-04 16:02:37,2274,54612.5,0,20.2,49
2025-12-04 16:02:46,2285,54612.5,0,20.6,49
2025-12-04 16:02:54,2286,54612.5,0,21.4,47
2025-12-04 16:03:04,2305,54612.5,0,21.8,47
2025-12-04 16:03:12,2341,54612.5,0,22.2,46
2025-12-04 16:03:21,2448,54612.5,0,22.6,46
2025-12-04 16:03:30,2661,54612.5,0,23,45
2025-12-04 16:03:38,3294,54606.66,0,23.4,44
2025-12-04 16:03:47,4095,47750,0,23.8,44
2025-12-04 16:03:55,3948,54586.66,0,23.8,43
2025-12-04 16:04:04,3993,54612.5,0,23.8,43
2025-12-04 16:04:13,4095,54612.5,0,23.8,43
